entry_time,entry_price,side,size,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,pnl,pnl_pct,spread_cost,slippage_cost
2025-04-07 12:30:00,3035.75,BUY,10.0,3015.75,3095.75,2025-04-07 14:35:00,3015.75,SL_HIT,CLOSED,-205.5,-0.6769332125504406,0.5,0.05
2025-04-07 15:30:00,3014.63,SELL,10.0,3034.63,2954.63,2025-04-07 16:15:00,3034.63,SL_HIT,CLOSED,-205.5,-0.6816756948613927,0.5,0.05
2025-04-08 07:20:00,3002.26,BUY,10.0,2982.26,3062.26,2025-04-08 18:05:00,2997.72,Reverse Signal,CLOSED,-50.900000000004184,-0.1695389473263614,0.5,0.05
2025-04-08 18:05:00,2996.55,SELL,10.0,3016.55,2936.55,2025-04-09 03:40:00,2997.66,Reverse Signal,CLOSED,-16.599999999996726,-0.05539703992924104,0.5,0.05
2025-04-09 03:40:00,3000.18,BUY,10.0,2980.18,3060.18,2025-04-09 13:20:00,3060.18,TP_HIT,CLOSED,594.5,1.981547773800239,0.5,0.05
2025-04-14 00:00:00,3222.26,SELL,10.0,3242.26,3162.26,2025-04-14 03:20:00,3220.11,Reverse Signal,CLOSED,16.00000000000091,0.049654590256530844,0.5,0.05
2025-04-14 03:20:00,3227.37,BUY,10.0,3207.37,3287.37,2025-04-14 06:05:00,3233.25,Reverse Signal,CLOSED,53.30000000000109,0.16514995181835704,0.5,0.05
2025-04-14 06:05:00,3232.43,SELL,10.0,3252.43,3172.43,2025-04-15 03:10:00,3214.19,Reverse Signal,CLOSED,176.89999999999782,0.5472662981100839,0.5,0.05
2025-04-15 03:10:00,3217.55,BUY,10.0,3197.55,3277.55,2025-04-15 15:35:00,3220.25,Reverse Signal,CLOSED,21.49999999999818,0.0668210284222411,0.5,0.05
2025-04-15 15:35:00,3216.28,SELL,10.0,3236.28,3156.28,2025-04-15 16:40:00,3223.16,Reverse Signal,CLOSED,-74.29999999999654,-0.2310122253037563,0.5,0.05
2025-04-15 16:40:00,3222.13,BUY,10.0,3202.13,3282.13,2025-04-16 06:00:00,3282.13,TP_HIT,CLOSED,594.5,1.8450528066837775,0.5,0.05
2025-04-17 08:00:00,3326.31,SELL,10.0,3346.31,3266.31,2025-04-17 22:35:00,3324.97,Reverse Signal,CLOSED,7.900000000001455,0.023750041337101638,0.5,0.05
2025-04-17 22:35:00,3326.48,BUY,10.0,3306.48,3386.48,2025-04-21 08:00:00,3386.48,TP_HIT,CLOSED,594.5,1.7871744306293742,0.5,0.05
2025-04-22 14:35:00,3447.65,SELL,10.0,3467.65,3387.65,2025-04-22 18:25:00,3387.65,TP_HIT,CLOSED,594.5,1.7243629718793962,0.5,0.05
2025-04-24 00:00:00,3305.88,BUY,10.0,3285.88,3365.88,2025-04-24 03:35:00,3365.88,TP_HIT,CLOSED,594.5,1.7983108884775008,0.5,0.05
2025-04-24 15:30:00,3326.82,SELL,10.0,3346.82,3266.82,2025-04-24 17:55:00,3328.46,Reverse Signal,CLOSED,-21.899999999998727,-0.06582862914133834,0.5,0.05
2025-04-24 17:55:00,3329.38,BUY,10.0,3309.38,3389.38,2025-04-25 05:00:00,3348.62,Reverse Signal,CLOSED,186.89999999999782,0.5613657798148538,0.5,0.05
2025-04-25 05:00:00,3348.8,SELL,10.0,3368.8,3288.8,2025-04-25 07:50:00,3288.8,TP_HIT,CLOSED,594.5,1.7752627806975632,0.5,0.05
2025-04-25 22:00:00,3305.55,BUY,10.0,3285.55,3365.55,2025-04-28 03:15:00,3307.08,Reverse Signal,CLOSED,9.799999999997453,0.029647108650595066,0.5,0.05
2025-04-28 03:15:00,3301.83,SELL,10.0,3321.83,3241.83,2025-04-28 06:05:00,3292.42,Reverse Signal,CLOSED,88.59999999999854,0.2683360439513801,0.5,0.05
2025-04-28 06:05:00,3289.44,BUY,10.0,3269.44,3349.44,2025-04-28 08:50:00,3287.84,Reverse Signal,CLOSED,-21.49999999999909,-0.0653606692932508,0.5,0.05
2025-04-28 08:50:00,3282.99,SELL,10.0,3302.99,3222.99,2025-04-28 13:00:00,3289.45,Reverse Signal,CLOSED,-70.10000000000036,-0.2135248660519842,0.5,0.05
2025-04-28 13:00:00,3291.06,BUY,10.0,3271.06,3351.06,2025-04-28 21:00:00,3351.06,TP_HIT,CLOSED,594.5,1.8064088773829712,0.5,0.05
2025-04-29 05:00:00,3317.98,SELL,10.0,3337.98,3257.98,2025-04-29 18:00:00,3312.29,Reverse Signal,CLOSED,51.400000000000546,0.15491353172713684,0.5,0.05
2025-04-29 18:00:00,3315.71,BUY,10.0,3295.71,3375.71,2025-04-30 02:30:00,3319.29,Reverse Signal,CLOSED,30.299999999999272,0.09138314267532226,0.5,0.05
2025-04-30 02:30:00,3318.1,SELL,10.0,3338.1,3258.1,2025-04-30 15:00:00,3298.6,Reverse Signal,CLOSED,189.5,0.5711099725746662,0.5,0.05
2025-04-30 15:00:00,3297.14,BUY,10.0,3277.14,3357.14,2025-04-30 21:00:00,3301.67,Reverse Signal,CLOSED,39.800000000002,0.12071067652572232,0.5,0.05
2025-04-30 21:00:00,3304.16,SELL,10.0,3324.16,3244.16,2025-05-01 02:45:00,3244.16,TP_HIT,CLOSED,594.5,1.7992470098300326,0.5,0.05
